	x	y
15x29	15	29
15x30	15	30
15x6	15	6
15x7	15	7
15x9	15	9
16x10	16	10
16x11	16	11
16x12	16	12
16x13	16	13
16x14	16	14
16x15	16	15
16x16	16	16
16x17	16	17
16x18	16	18
16x19	16	19
16x20	16	20
16x21	16	21
16x22	16	22
16x23	16	23
16x24	16	24
16x25	16	25
16x26	16	26
16x27	16	27
16x28	16	28
16x29	16	29
16x30	16	30
16x31	16	31
16x7	16	7
16x8	16	8
16x9	16	9
17x10	17	10
17x11	17	11
17x12	17	12
17x13	17	13
17x14	17	14
17x15	17	15
17x16	17	16
17x17	17	17
17x18	17	18
17x19	17	19
17x20	17	20
17x21	17	21
17x22	17	22
17x23	17	23
17x24	17	24
17x25	17	25
17x26	17	26
17x27	17	27
17x28	17	28
17x29	17	29
17x30	17	30
17x31	17	31
17x8	17	8
17x9	17	9
18x10	18	10
18x11	18	11
18x12	18	12
18x13	18	13
18x14	18	14
18x15	18	15
18x16	18	16
18x17	18	17
18x19	18	19
18x20	18	20
18x21	18	21
18x22	18	22
18x23	18	23
18x24	18	24
18x25	18	25
18x26	18	26
18x27	18	27
18x28	18	28
18x29	18	29
18x30	18	30
18x31	18	31
18x32	18	32
18x9	18	9
19x10	19	10
19x11	19	11
19x12	19	12
19x13	19	13
19x14	19	14
19x15	19	15
19x16	19	16
19x17	19	17
19x18	19	18
19x19	19	19
19x20	19	20
19x21	19	21
19x22	19	22
19x23	19	23
19x24	19	24
19x25	19	25
19x26	19	26
19x27	19	27
19x28	19	28
19x29	19	29
19x30	19	30
19x31	19	31
19x32	19	32
20x10	20	10
20x11	20	11
20x12	20	12
20x13	20	13
20x14	20	14
20x15	20	15
20x16	20	16
20x17	20	17
20x18	20	18
20x19	20	19
20x20	20	20
20x21	20	21
20x22	20	22
20x23	20	23
20x24	20	24
20x25	20	25
20x26	20	26
20x27	20	27
20x28	20	28
20x29	20	29
20x30	20	30
20x31	20	31
20x32	20	32
20x33	20	33
21x11	21	11
21x12	21	12
21x13	21	13
21x14	21	14
21x15	21	15
21x16	21	16
21x17	21	17
21x18	21	18
21x19	21	19
21x20	21	20
21x21	21	21
21x22	21	22
21x23	21	23
21x24	21	24
21x25	21	25
21x26	21	26
21x27	21	27
21x28	21	28
21x29	21	29
21x30	21	30
21x31	21	31
21x32	21	32
21x33	21	33
22x12	22	12
22x13	22	13
22x14	22	14
22x15	22	15
22x16	22	16
22x17	22	17
22x18	22	18
22x19	22	19
22x20	22	20
22x21	22	21
22x22	22	22
22x23	22	23
22x24	22	24
22x25	22	25
22x26	22	26
22x27	22	27
22x28	22	28
22x29	22	29
22x30	22	30
22x31	22	31
22x32	22	32
22x33	22	33
23x13	23	13
23x14	23	14
23x15	23	15
23x16	23	16
23x17	23	17
23x18	23	18
23x19	23	19
23x20	23	20
23x21	23	21
23x22	23	22
23x23	23	23
23x24	23	24
23x25	23	25
23x26	23	26
23x27	23	27
23x28	23	28
23x29	23	29
23x30	23	30
23x31	23	31
23x32	23	32
23x33	23	33
24x13	24	13
24x14	24	14
24x15	24	15
24x16	24	16
24x17	24	17
24x18	24	18
24x19	24	19
24x20	24	20
24x21	24	21
24x23	24	23
24x24	24	24
24x25	24	25
24x26	24	26
24x27	24	27
24x28	24	28
24x29	24	29
24x30	24	30
24x31	24	31
24x32	24	32
24x33	24	33
25x14	25	14
25x15	25	15
25x16	25	16
25x17	25	17
25x18	25	18
25x19	25	19
25x20	25	20
25x21	25	21
25x22	25	22
25x23	25	23
25x24	25	24
25x25	25	25
25x26	25	26
25x27	25	27
25x28	25	28
25x29	25	29
25x30	25	30
25x31	25	31
25x32	25	32
25x33	25	33
26x15	26	15
26x16	26	16
26x17	26	17
26x18	26	18
26x19	26	19
26x20	26	20
26x21	26	21
26x22	26	22
26x23	26	23
26x24	26	24
26x25	26	25
26x26	26	26
26x27	26	27
26x28	26	28
26x29	26	29
26x30	26	30
26x31	26	31
26x32	26	32
26x33	26	33
27x16	27	16
27x17	27	17
27x18	27	18
27x19	27	19
27x20	27	20
27x21	27	21
27x22	27	22
27x23	27	23
27x24	27	24
27x25	27	25
27x26	27	26
27x27	27	27
27x28	27	28
27x29	27	29
27x30	27	30
27x31	27	31
27x32	27	32
28x16	28	16
28x17	28	17
28x18	28	18
28x19	28	19
28x20	28	20
28x21	28	21
28x22	28	22
28x23	28	23
28x24	28	24
28x25	28	25
28x26	28	26
28x27	28	27
28x28	28	28
28x29	28	29
28x30	28	30
28x31	28	31
29x17	29	17
29x18	29	18
29x19	29	19
29x20	29	20
29x21	29	21
29x22	29	22
29x23	29	23
29x24	29	24
29x25	29	25
29x26	29	26
29x27	29	27
29x28	29	28
29x29	29	29
29x30	29	30
2x12	2	12
2x13	2	13
2x14	2	14
2x15	2	15
2x16	2	16
2x17	2	17
2x18	2	18
30x18	30	18
30x19	30	19
30x20	30	20
30x21	30	21
30x23	30	23
30x24	30	24
30x25	30	25
30x26	30	26
30x27	30	27
30x28	30	28
30x29	30	29
30x30	30	30
31x19	31	19
31x20	31	20
31x21	31	21
31x22	31	22
31x23	31	23
31x24	31	24
31x25	31	25
31x26	31	26
31x27	31	27
31x28	31	28
31x29	31	29
31x30	31	30
32x20	32	20
32x21	32	21
32x23	32	23
32x24	32	24
32x25	32	25
32x26	32	26
32x27	32	27
32x28	32	28
32x29	32	29
3x11	3	11
3x12	3	12
3x13	3	13
3x14	3	14
3x15	3	15
3x16	3	16
3x17	3	17
3x18	3	18
3x19	3	19
4x10	4	10
4x11	4	11
4x12	4	12
4x13	4	13
4x14	4	14
4x15	4	15
4x16	4	16
4x17	4	17
4x18	4	18
4x19	4	19
4x9	4	9
5x10	5	10
5x11	5	11
5x12	5	12
5x13	5	13
5x14	5	14
5x15	5	15
5x16	5	16
5x17	5	17
5x18	5	18
5x19	5	19
5x20	5	20
5x9	5	9
6x10	6	10
6x11	6	11
6x12	6	12
6x13	6	13
6x14	6	14
6x15	6	15
6x16	6	16
6x17	6	17
6x18	6	18
6x19	6	19
6x20	6	20
6x21	6	21
6x8	6	8
6x9	6	9
7x10	7	10
7x11	7	11
7x12	7	12
7x13	7	13
7x14	7	14
7x15	7	15
7x16	7	16
7x17	7	17
7x18	7	18
7x19	7	19
7x20	7	20
7x21	7	21
7x6	7	6
7x7	7	7
7x8	7	8
7x9	7	9
8x10	8	10
8x11	8	11
8x12	8	12
8x13	8	13
8x14	8	14
8x15	8	15
8x16	8	16
8x17	8	17
8x18	8	18
8x19	8	19
8x20	8	20
8x21	8	21
8x22	8	22
8x23	8	23
8x24	8	24
8x5	8	5
8x6	8	6
8x7	8	7
8x8	8	8
8x9	8	9
9x10	9	10
9x11	9	11
9x12	9	12
9x13	9	13
9x14	9	14
9x15	9	15
9x16	9	16
9x17	9	17
9x18	9	18
9x19	9	19
9x20	9	20
9x21	9	21
9x22	9	22
9x23	9	23
9x24	9	24
9x25	9	25
9x26	9	26
9x4	9	4
9x5	9	5
9x6	9	6
9x7	9	7
9x8	9	8
9x9	9	9
